Designator,Mid X,Mid Y,Rotation,Layer
C1,30.075,-51.925,180.0,top
C2,31.0,-36.05,90.0,top
C3,41.0,-30.0,0.0,top
C4,46.0,-42.0,270.0,top
C5,35.5,-45.328249,135.0,top
D1,26.0,-62.5,90.0,top
D2,30.0,-62.5,90.0,top
D3,18.9375,-52.0,180.0,top
D4,18.9375,-55.0,180.0,top
D5,18.9375,-58.0,180.0,top
J1,20.77,-37.0,0.0,top
J10,96.25,-47.4675,0.0,top
J11,108.25,-47.4675,0.0,top
J12,120.25,-47.4675,0.0,top
J13,132.25,-47.4675,0.0,top
J14,144.25,-47.4675,0.0,top
J15,143.75,-37.4675,180.0,top
J16,131.75,-37.4675,180.0,top
J17,119.75,-37.4675,180.0,top
J18,107.75,-37.5,180.0,top
J19,95.75,-37.4675,180.0,top
J2,31.54,-17.0,90.0,top
J20,83.75,-37.4675,180.0,top
J21,155.75,-37.4675,180.0,top
J22,167.75,-37.5,180.0,top
J23,179.75,-37.5,180.0,top
J24,191.75,-37.5,180.0,top
J25,203.75,-37.4675,180.0,top
J26,215.75,-37.4675,180.0,top
J27,45.81,-17.0,90.0,top
J28,35.0,-52.0,180.0,top
J3,216.25,-47.4675,0.0,top
J4,204.25,-47.4675,0.0,top
J5,192.25,-47.4675,0.0,top
J6,180.25,-47.4675,0.0,top
J7,168.25,-47.4675,0.0,top
J8,156.25,-47.4675,0.0,top
J9,84.25,-47.4675,0.0,top
R1,31.0,-41.075,270.0,top
R10,61.0875,-50.095,0.0,top
R11,61.0875,-27.095,0.0,top
R12,61.0875,-29.095,0.0,top
R13,61.0875,-31.095,0.0,top
R14,61.0875,-33.095,0.0,top
R15,61.0875,-35.095,0.0,top
R16,61.0875,-37.095,0.0,top
R17,23.0875,-52.0,0.0,top
R18,23.0875,-55.0,0.0,top
R19,23.0875,-58.0,0.0,top
R2,30.075,-31.925,180.0,top
R3,26.0,-66.4125,270.0,top
R4,30.0,-66.5875,270.0,top
R5,61.0875,-40.095,0.0,top
R6,61.0875,-42.095,0.0,top
R7,61.0875,-44.095,0.0,top
R8,61.0875,-46.095,0.0,top
R9,61.0875,-48.095,0.0,top
SW1,30.0,-47.0,90.0,top
SW2,30.0,-27.0,270.0,top
U1,39.0,-38.0,315.0,top
U2,54.0,-45.095,270.0,top
U3,54.0,-33.095,270.0,top
